viewport;source;hotspot;action;target;animation
"Desktop";"01-desktop-home.svg";"HOTSPOT__HOME__OPEN_CATALOG";"Navigate to";"02-desktop-catalog-default.svg";"Instant / 200 ms"
"Desktop";"01-desktop-home.svg";"HOTSPOT__HOME__BOTTOM_CATALOG";"Navigate to";"02-desktop-catalog-default.svg";"Instant / 200 ms"
"Desktop";"01-desktop-home.svg";"HOTSPOT__CATEGORY__INTERIOR";"Navigate to";"03-desktop-catalog-category.svg";"Instant / 200 ms"
"Desktop";"02-desktop-catalog-default.svg";"HOTSPOT__FILTER__КАТЕГОРИЯ__ИНТЕРЬЕР";"Navigate to";"03-desktop-catalog-category.svg";"Instant / 200 ms"
"Desktop";"03-desktop-catalog-category.svg";"HOTSPOT__FILTER__ПРОСТРАНСТВО__ГОСТИНАЯ";"Navigate to";"04-desktop-catalog-space.svg";"Instant / 200 ms"
"Desktop";"04-desktop-catalog-space.svg";"HOTSPOT__FILTER__СТИЛЬ__СКАНДИНАВСКИЙ";"Navigate to";"05-desktop-catalog-filtered.svg";"Instant / 200 ms"
"Desktop";"05-desktop-catalog-filtered.svg";"HOTSPOT__PROJECT__NORDIC_LIVING";"Navigate to";"07-desktop-project-nordic-living.svg";"Instant / 200 ms"
"Desktop";"07-desktop-project-nordic-living.svg";"HOTSPOT__PROJECT__ADD_FAVORITE";"Navigate to";"08-desktop-project-favorited.svg";"Instant / 200 ms"
"Desktop";"08-desktop-project-favorited.svg";"HOTSPOT__PROJECT__OPEN_COMPANY";"Navigate to";"15-desktop-company-nordform.svg";"Instant / 200 ms"
"Desktop";"15-desktop-company-nordform.svg";"HOTSPOT__COMPANY__OPEN_NORDIC_LIVING";"Navigate to";"08-desktop-project-favorited.svg";"Instant / 200 ms"
"Desktop";"08-desktop-project-favorited.svg";"HOTSPOT__PROJECT__OPEN_COLLECTION";"Navigate to";"16-desktop-collection.svg";"Instant / 200 ms"
"Desktop";"16-desktop-collection.svg";"HOTSPOT__PRODUCT__SOFA";"Navigate to";"17-desktop-product-modal.svg";"Instant / 200 ms"
"Desktop";"16-desktop-collection.svg";"HOTSPOT__PRODUCT__TABLE";"Navigate to";"17-desktop-product-modal.svg";"Instant / 200 ms"
"Desktop";"16-desktop-collection.svg";"HOTSPOT__PRODUCT__LAMP";"Navigate to";"17-desktop-product-modal.svg";"Instant / 200 ms"
"Desktop";"17-desktop-product-modal.svg";"HOTSPOT__PRODUCT_MODAL__CLOSE";"Navigate to";"16-desktop-collection.svg";"Instant / 200 ms"
"Desktop";"17-desktop-product-modal.svg";"HOTSPOT__PRODUCT_MODAL__BACK_PROJECT";"Navigate to";"08-desktop-project-favorited.svg";"Instant / 200 ms"
"Desktop";"16-desktop-collection.svg";"HOTSPOT__COLLECTION__BACK_PROJECT";"Navigate to";"08-desktop-project-favorited.svg";"Instant / 200 ms"
"Desktop";"08-desktop-project-favorited.svg";"HOTSPOT__HEADER__FAVORITES";"Navigate to";"19-desktop-favorites-saved.svg";"Instant / 200 ms"
"Desktop";"18-desktop-favorites-empty.svg";"HOTSPOT__FAVORITES__OPEN_CATALOG";"Navigate to";"02-desktop-catalog-default.svg";"Instant / 200 ms"
"Desktop";"19-desktop-favorites-saved.svg";"HOTSPOT__FAVORITES__OPEN_NORDIC_LIVING";"Navigate to";"08-desktop-project-favorited.svg";"Instant / 200 ms"
"Desktop";"06-desktop-catalog-empty.svg";"HOTSPOT__EMPTY__RESET_FILTERS";"Navigate to";"02-desktop-catalog-default.svg";"Instant / 200 ms"
